Ekonomiskt bistånd, Antal biståndsmottagare 18 år och äldre, Ålder: 18-65+
Dals­Ed;Män;73;65;49;46
Dals­Ed;Kvinnor;56;53;46;44
Dals­Ed;Båda könen;129;118;95;90
Färgelanda;Män;148;155;126;78
Färgelanda;Kvinnor;123;134;100;74
Färgelanda;Båda könen;271;289;226;152
Ale;Män;282;229;205;233
Ale;Kvinnor;254;213;197;210
Ale;Båda könen;536;442;402;443
Lerum;Män;321;275;225;222
Lerum;Kvinnor;264;248;237;203
Lerum;Båda könen;585;523;462;425
Vårgårda;Män;102;83;68;65
Vårgårda;Kvinnor;101;96;97;86
Vårgårda;Båda könen;203;179;165;151
Bollebygd;Män;77;56;41;43
Bollebygd;Kvinnor;64;59;43;45
Bollebygd;Båda könen;141;115;84;88
Grästorp;Män;36;28;28;25
Grästorp;Kvinnor;30;22;20;27
Grästorp;Båda könen;66;50;48;52
Essunga;Män;84;77;72;64
Essunga;Kvinnor;75;67;61;57
Essunga;Båda könen;159;144;133;121
Karlsborg;Män;77;59;51;51
Karlsborg;Kvinnor;63;54;43;44
Karlsborg;Båda könen;140;113;94;95
Gullspång;Män;71;95;77;68
Gullspång;Kvinnor;63;74;61;57
Gullspång;Båda könen;134;169;138;125
Tranemo;Män;109;86;93;86
Tranemo;Kvinnor;81;74;71;74
Tranemo;Båda könen;190;160;164;160
Bengtsfors;Män;196;140;110;85
Bengtsfors;Kvinnor;164;139;95;87
Bengtsfors;Båda könen;360;279;205;172
Mellerud;Män;119;89;78;78
Mellerud;Kvinnor;117;96;69;72
Mellerud;Båda könen;236;185;147;150
Lilla Edet;Män;115;110;108;89
Lilla Edet;Kvinnor;122;121;107;68
Lilla Edet;Båda könen;237;231;215;157
Mark;Män;293;250;243;249
Mark;Kvinnor;280;244;205;244
Mark;Båda könen;573;494;448;493
Svenljunga;Män;115;90;83;92
Svenljunga;Kvinnor;112;102;88;81
Svenljunga;Båda könen;227;192;171;173
Herrljunga;Män;72;67;62;63
Herrljunga;Kvinnor;61;59;49;51
Herrljunga;Båda könen;133;126;111;114
Vara;Män;213;181;133;147
Vara;Kvinnor;205;171;111;134
Vara;Båda könen;418;352;244;281
Götene;Män;122;96;70;76
Götene;Kvinnor;115;89;60;58
Götene;Båda könen;237;185;130;134
Tibro;Män;145;131;109;118
Tibro;Kvinnor;138;121;112;117
Tibro;Båda könen;283;252;221;235
Töreboda;Män;159;117;96;85
Töreboda;Kvinnor;137;115;95;85
Töreboda;Båda könen;296;232;191;170
Göteborg;Män;8417;7198;6256;6231
Göteborg;Kvinnor;7876;6879;5965;5946
Göteborg;Båda könen;16293;14077;12221;12177
Mölndal;Män;611;503;445;414
Mölndal;Kvinnor;521;477;387;376
Mölndal;Båda könen;1132;980;832;790
Kungälv;Män;328;292;268;235
Kungälv;Kvinnor;316;299;268;230
Kungälv;Båda könen;644;591;536;465
Lysekil;Män;236;160;133;117
Lysekil;Kvinnor;202;141;117;140
Lysekil;Båda könen;438;301;250;257
Uddevalla;Män;937;773;647;653
Uddevalla;Kvinnor;805;733;632;638
Uddevalla;Båda könen;1742;1506;1279;1291
Strömstad;Män;119;96;75;91
Strömstad;Kvinnor;93;73;70;80
Strömstad;Båda könen;212;169;145;171
Vänersborg;Män;596;510;423;409
Vänersborg;Kvinnor;528;473;453;461
Vänersborg;Båda könen;1124;983;876;870
Trollhättan;Män;812;677;574;525
Trollhättan;Kvinnor;825;733;621;601
Trollhättan;Båda könen;1637;1410;1195;1126
Alingsås;Män;302;258;257;295
Alingsås;Kvinnor;285;272;237;271
Alingsås;Båda könen;587;530;494;566
Borås;Män;849;731;720;804
Borås;Kvinnor;805;748;735;782
Borås;Båda könen;1654;1479;1455;1586
Ulricehamn;Män;201;156;140;142
Ulricehamn;Kvinnor;191;151;128;141
Ulricehamn;Båda könen;392;307;268;283
Åmål;Män;250;236;199;185
Åmål;Kvinnor;212;209;183;176
Åmål;Båda könen;462;445;382;361
Mariestad;Män;232;201;182;198
Mariestad;Kvinnor;189;179;166;167
Mariestad;Båda könen;421;380;348;365
Lidköping;Män;316;296;244;263
Lidköping;Kvinnor;323;304;255;257
Lidköping;Båda könen;639;600;499;520
Skara;Män;237;208;189;170
Skara;Kvinnor;219;216;182;188
Skara;Båda könen;456;424;371;358
Skövde;Män;365;290;269;291
Skövde;Kvinnor;328;307;254;275
Skövde;Båda könen;693;597;523;566
Hjo;Män;115;89;101;90
Hjo;Kvinnor;97;84;65;76
Hjo;Båda könen;212;173;166;166
Tidaholm;Män;158;135;123;107
